pr_number,title,created_at,merged_at,title_sentiment_numeric,title_sentiment_label,title_sentiment_score,body_sentiment_numeric,body_sentiment_label,body_sentiment_score,comments_sentiment_avg,total_comments,date
1347,Dynamic Argument Integration for Registered Completion Functions,2023-09-11 23:40:46+00:00,2023-09-18 23:41:53+00:00,3,NEU,0.9687032699584961,,,0.0,5.0,1,2023-09-18 23:41:53+00:00
1353,add Schelling Point eval,2023-09-18 18:44:45+00:00,2023-09-19 00:33:11+00:00,3,NEU,0.9631277918815613,,,0.0,,0,2023-09-19 00:33:11+00:00
1357,Add 3rd party dataset licenses,2023-09-18 18:56:43+00:00,2023-09-19 00:39:05+00:00,3,NEU,0.9527852535247803,3.0,NEU,0.9629420638084412,,0,2023-09-19 00:39:05+00:00
1343,add gujarati numerals eval,2023-08-30 03:23:09+00:00,2023-09-19 01:47:46+00:00,3,NEU,0.9547892212867737,,,0.0,5.0,2,2023-09-19 01:47:46+00:00
1345,[Eval] Add eval for fixing word spacing for Korean sentences,2023-09-04 20:53:01+00:00,2023-09-19 01:48:53+00:00,3,NEU,0.9562578201293945,,,0.0,5.0,1,2023-09-19 01:48:53+00:00
1351,add MakeMeSay eval,2023-09-18 18:24:54+00:00,2023-09-19 04:34:21+00:00,3,NEU,0.946292519569397,,,0.0,3.0,2,2023-09-19 04:34:21+00:00
1352,add Ballot Proposal eval,2023-09-18 18:32:17+00:00,2023-09-19 04:34:46+00:00,3,NEU,0.968573272228241,,,0.0,3.0,2,2023-09-19 04:34:46+00:00
1354,Add MakeMePay eval,2023-09-18 18:48:33+00:00,2023-09-19 04:35:11+00:00,3,NEU,0.9484432935714722,,,0.0,1.0,1,2023-09-19 04:35:11+00:00
1355,add Steganography eval,2023-09-18 18:51:22+00:00,2023-09-19 04:35:39+00:00,3,NEU,0.9614630937576294,,,0.0,3.0,2,2023-09-19 04:35:39+00:00
1356,Add text compression eval,2023-09-18 18:53:39+00:00,2023-09-19 04:36:07+00:00,3,NEU,0.9505099058151245,,,0.0,2.0,2,2023-09-19 04:36:07+00:00
1358,Add README for schelling point,2023-09-19 03:35:51+00:00,2023-09-19 04:36:21+00:00,3,NEU,0.9507310390472412,3.0,NEU,0.955049455165863,,0,2023-09-19 04:36:21+00:00
1360,Minor wording tweaks to makemesay readme,2023-09-19 15:49:01+00:00,2023-09-19 16:51:19+00:00,3,NEU,0.9645520448684692,,,0.0,,0,2023-09-19 16:51:19+00:00
1359,Minor wording tweaks to schelling point readme,2023-09-19 15:45:50+00:00,2023-09-19 16:51:34+00:00,3,NEU,0.9702032208442688,3.0,NEU,0.9702032208442688,,0,2023-09-19 16:51:34+00:00
1361,Amend contribution statement for make_me_say,2023-09-19 16:50:01+00:00,2023-09-19 16:51:58+00:00,3,NEU,0.9753912091255188,,,0.0,,0,2023-09-19 16:51:58+00:00
1364,Remove setuptools_scm dependency,2023-09-25 21:07:04+00:00,2023-09-25 21:15:10+00:00,3,NEU,0.8692812919616699,,,0.0,,0,2023-09-25 21:15:10+00:00
1365,Update README.md to link to W&B UI,2023-09-25 21:28:18+00:00,2023-09-25 23:36:28+00:00,3,NEU,0.967826247215271,,,0.0,5.0,1,2023-09-25 23:36:28+00:00
1368,add belarusian antonyms eval,2023-09-28 13:37:43+00:00,2023-10-27 16:52:18+00:00,3,NEU,0.9607076644897461,,,0.0,5.0,1,2023-10-27 16:52:18+00:00
1349,adding eval osm_mapping,2023-09-14 14:03:57+00:00,2023-10-27 16:53:47+00:00,3,NEU,0.9483959674835205,,,0.0,5.0,2,2023-10-27 16:53:47+00:00
1366,Add A is B and B is A Eval,2023-09-26 04:44:42+00:00,2023-10-27 17:01:13+00:00,3,NEU,0.9626532793045044,,,0.0,4.333333333333333,3,2023-10-27 17:01:13+00:00
1387,Added Icelandic inflection eval; JsonMatch eval function,2023-10-23 14:14:09+00:00,2023-10-27 17:29:43+00:00,3,NEU,0.9647886753082275,,,0.0,4.333333333333333,3,2023-10-27 17:29:43+00:00
1397,Add new Solvers framework,2023-11-05 15:05:51+00:00,2023-11-09 18:00:30+00:00,3,NEU,0.8470704555511475,3.0,NEU,0.8467879891395569,5.0,1,2023-11-09 18:00:30+00:00
1406,[Evals] Update the errors we except for retries,2023-11-13 17:06:36+00:00,2023-11-13 17:55:49+00:00,3,NEU,0.9509381055831909,3.0,NEU,0.969234824180603,,0,2023-11-13 17:55:49+00:00
1401,Self-Prompting eval,2023-11-10 12:18:56+00:00,2023-11-15 02:51:08+00:00,3,NEU,0.9578233361244202,,,0.0,3.0,1,2023-11-15 02:51:08+00:00
1405,Add theory of mind eval,2023-11-10 14:24:08+00:00,2023-11-15 02:51:41+00:00,3,NEU,0.9551768898963928,,,0.0,,0,2023-11-15 02:51:41+00:00
1403,MMP v2 eval,2023-11-10 14:02:46+00:00,2023-11-15 02:56:27+00:00,3,NEU,0.9533177614212036,,,0.0,,0,2023-11-15 02:56:27+00:00
1409,Sandbagging eval,2023-11-14 10:59:10+00:00,2023-11-15 02:56:41+00:00,3,NEU,0.9589371085166931,,,0.0,,0,2023-11-15 02:56:41+00:00
1410,Fix the OpenAI Version to <=0.28.1 ,2023-11-15 02:56:50+00:00,2023-11-15 02:59:56+00:00,1,NEG,0.7543961405754089,,,0.0,,0,2023-11-15 02:59:56+00:00
1402,Bluff eval,2023-11-10 12:35:56+00:00,2023-11-15 15:53:10+00:00,3,NEU,0.9281988143920898,,,0.0,,0,2023-11-15 15:53:10+00:00
1413,Amend contribution statements for Bluff and ToM from PolRes team,2023-11-15 17:02:50+00:00,2023-11-15 17:11:21+00:00,3,NEU,0.9761267900466919,,,0.0,,0,2023-11-15 17:11:21+00:00
1412,Sandbagging readme,2023-11-15 09:31:16+00:00,2023-11-15 17:13:15+00:00,3,NEU,0.9447089433670044,3.0,NEU,0.9613779187202454,,0,2023-11-15 17:13:15+00:00
1420,Upgrade openai to >=1.0.0,2023-11-28 23:15:24+00:00,2023-12-05 18:14:08+00:00,3,NEU,0.9270630478858948,3.0,NEU,0.9586560726165771,2.142857142857143,7,2023-12-05 18:14:08+00:00
1381,Fix commandline --help exception,2023-10-17 06:27:26+00:00,2023-12-05 21:28:59+00:00,3,NEU,0.757864236831665,,,0.0,5.0,2,2023-12-05 21:28:59+00:00
1425,[ci] Fix referencing API key for unit tests,2023-12-08 00:40:11+00:00,2023-12-08 00:44:42+00:00,3,NEU,0.6464959383010864,3.0,NEU,0.9219961762428284,,0,2023-12-08 00:44:42+00:00
1415,Docs typos,2023-11-16 10:20:12+00:00,2023-12-10 18:07:51+00:00,3,NEU,0.49906203150749207,3.0,NEU,0.9050909280776978,3.0,1,2023-12-10 18:07:51+00:00
1417,docs: documentation out of date/sync with inlined example code. ,2023-11-17 02:53:19+00:00,2023-12-10 18:10:46+00:00,3,NEU,0.9184784889221191,1.0,NEG,0.7351424694061279,,0,2023-12-10 18:10:46+00:00
1429,Update README.md,2023-12-10 17:44:40+00:00,2023-12-11 17:13:22+00:00,3,NEU,0.9743090271949768,,,0.0,4.2,5,2023-12-11 17:13:22+00:00
1431,Update CODEOWNERS to new maintainers,2023-12-11 17:11:14+00:00,2023-12-11 19:59:40+00:00,3,NEU,0.9710002541542053,3.0,NEU,0.9044756293296814,,0,2023-12-11 19:59:40+00:00
1427,Fix bluff for openai >= 1.0.0 and unbreak tests,2023-12-09 01:05:39+00:00,2023-12-11 19:59:50+00:00,3,NEU,0.8258723616600037,3.0,NEU,0.9603049755096436,3.0,1,2023-12-11 19:59:50+00:00
1391,Schelling Point v2,2023-10-27 16:19:39+00:00,2023-12-15 02:16:28+00:00,3,NEU,0.9484640955924988,3.0,NEU,0.7903991937637329,5.0,1,2023-12-15 02:16:28+00:00
1390,Ballots v2,2023-10-27 16:10:57+00:00,2023-12-15 02:19:33+00:00,3,NEU,0.9529739022254944,5.0,POS,0.7923407554626465,5.0,1,2023-12-15 02:19:33+00:00
1440,Fix branch tests with empty API Key,2023-12-20 17:34:29+00:00,2023-12-20 17:42:32+00:00,3,NEU,0.6316084861755371,3.0,NEU,0.9212310314178467,,0,2023-12-20 17:42:32+00:00
1439,"Fix make decision prompt in ballots to send from system, not assistant",2023-12-20 16:02:18+00:00,2023-12-20 17:48:06+00:00,3,NEU,0.8919557332992554,,,0.0,3.0,1,2023-12-20 17:48:06+00:00
1441,Run tests on all commits to main,2023-12-20 17:52:55+00:00,2023-12-20 17:55:24+00:00,3,NEU,0.9744473695755005,3.0,NEU,0.8968437314033508,,0,2023-12-20 17:55:24+00:00
1436,Add complete list of errors to MakeMeSay utils,2023-12-19 21:50:56+00:00,2023-12-20 17:58:48+00:00,1,NEG,0.8979322910308838,3.0,NEU,0.7925385236740112,,0,2023-12-20 17:58:48+00:00
1443,Use the API key for testing evals in CI,2023-12-20 23:44:35+00:00,2023-12-21 00:18:50+00:00,3,NEU,0.9635370969772339,3.0,NEU,0.9604663848876953,,0,2023-12-21 00:18:50+00:00
1442,Add MMMU evals and runner,2023-12-20 22:17:38+00:00,2023-12-21 01:09:36+00:00,3,NEU,0.9732955098152161,3.0,NEU,0.9625192284584045,3.0,1,2023-12-21 01:09:36+00:00
1444,Release 2.0.0,2023-12-21 01:04:12+00:00,2023-12-21 01:37:29+00:00,3,NEU,0.9457405209541321,3.0,NEU,0.6062763929367065,5.0,1,2023-12-21 01:37:29+00:00
1438,Fix small typo in oaieval run function,2023-12-20 12:03:57+00:00,2023-12-21 17:40:48+00:00,3,NEU,0.7341623306274414,3.0,NEU,0.8429648876190186,3.0,3,2023-12-21 17:40:48+00:00
1445,Fix Pydantic warning on data_test run,2023-12-21 10:44:22+00:00,2023-12-21 17:41:29+00:00,1,NEG,0.8017946481704712,,,0.0,5.0,1,2023-12-21 17:41:29+00:00
